aircraft,type_of_traveller,seat_type,route,seat_comfort,staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,title,reviews,rating,date_dt
,solo leisure,economy class,london to madrid,,,,,,,1,no,still forcing people to fly to madrid,diabolical that british airways are still forcing people to fly to madrid when other airlines have cancelled their flights and the foreign office have advised against anything other than essential travel. what a way to treat their customers. if that is how they are going to treat people it is hardly surprising they are in trouble.,1,2020-03-01
,business,economy class,frankfurt to buenos aires via london,2,3,3,2,1,,1,no,unfriendly and inconsiderate to me,"frankfurt to buenos aires via london in october 2019. the aircraft is very old with small screens and ample entertainment, which becomes an issue flying +10hrs. the 1 hour layover was a complete disaster. the staff was unfriendly and inconsiderate to me.",3,2019-10-01
,business,business class,london to paris cdg,,,,,,,1,no,live in a conceited bubble,"london to paris return group booking cancelled. i know the current coronavirus is causing problems for any airline, but ba appears as usual to have no contingency plans to handle extra number of enquiries and it is proving impossible to speak with them. after the constant it debacles this airline has, surely it is time for heads at the top to roll? cancelled my booking for flight refund online, but they do not return the seat booking fee and you have to do this afterwards. however, the manage booking page wipes all preferences to your booked seat numbers and you cannot complete the form without this information. a 5 year old child could improve upon the user unfriendly app and website that ba currently has, and my patience of being loyal to ba (for over 40 years i might add) has run out. the management of this airline appear to live in a conceited bubble and have no idea what is going on at the front line.",2,2020-03-01
,couple leisure,economy class,london city to berlin,,,,,1,,1,no,rude staff and service,"london city to berlin on 8th march. flight got canceled. the lady at the counter was extremely unfriendly and arrogant. extremely rude staff and service. this is no way to treat passengers!, especially not if the expensive flight is cancelled!",1,2020-03-01
boeing 787,solo leisure,economy class,london to beijing,3,5,4,5,4,,4,yes,ba has really upped their game,"london to beijing in january 2020. ba has really upped their game now. a few years back i took ba, the experience was really disappointed and avoid them since however, my recent flight is good. the flight was delayed for 1 hour due to mechanical reasons, but get back majority of the delay in the air. food is tasty, and crews are not hesitate to provide more if you are still hungry. the drinks are offered in the promote manner, and crews are really willing to engage with you (in the gallery when majority of the passengers fall asleep). seat is a bit tight but understood i am flying economy so this is bearable the return flight has been cancelled, it takes like 10 calls / emails, and they finally sorted out our flight. this could be improved but i appreciate it is not easy to change you to an airline which is not ba's partner overall, ba has really improved the game, and the friendly and professional crews are the best in the world",8,2020-01-01
a380,family leisure,economy class,hong kong to london,5,5,5,3,5,,5,yes,friendly and helpful,hong kong to london. great airline indeed! staff were friendly and helpful! the aircraft was very clean. the crews are diverse. will definitely fly again.,9,2020-01-01
boeing 777-200,couple leisure,economy class,mumbai to london,4,5,5,4,5,,5,yes,very happy with the service,"mumbai to london. the check in process was quick, efficient and friendly. unfortunately there was a two hour delay on departure, but ba kept us informed and we were given a free food and drink offering from the food court. information, explanation and apology over the delay was given by the first officer which we were happy with. the entertainment screens were a little temperamental to begin with but they eventually worked. good service and friendly attitude from the cabin crew made the long flight easier though. very happy with the service.",9,2020-03-01
boeing 777-200,couple leisure,economy class,london to delhi,4,5,5,4,2,,4,yes,"positive, friendly attitude","london to delhi. this booking was part of a holiday group format so we had to check in as opposed to bag drop. according to the check in screen, all zones were applicable for our destination, but we were sent from one zone to the next; (which, given the size of the t5 check in hall wasn't helpful) eventually, we managed to find assistance but it was very much a shrug of the shoulder attitude - especially when we discovered we were seated separately; it was only when a family with two young children had been split up that we were able to switch seats. fortunately, the cabin crew made up for this by providing a fabulous flight, with great service and positive, friendly attitude. i actually praised them and told them that my faith in ba had been restored!",8,2020-02-01
a319,business,business class,paris to london,1,4,,,1,,1,no,"flights to italy for march, all cancelled","paris to london. flight cancelled due to “atc restrictions” after storm ciara  and rebooked to a later flight which was delayed on top by 2 hours. arrived in london 6 hours later than planned initially and ba refused to recognise any additional expenses because it was a forceful operational reason. booked 3 flights to italy for march, all cancelled. last thursday booked lgw/bgy/lgw and next day cancelled (for last week of march) a month away. been a gold member of ba since 2016 and after seeing their constant downgrades, i will go back with airfrance/klm for my travel needs. ai found thr food and seats on euro business a shame.",2,2020-02-01
,solo leisure,economy class,singapore to london,3,3,3,3,1,,1,no,never use british airways again,"i flew from sydney to london to visit my seriously ill mother. the second leg, from singapore to london was with british airways. my return flight from london to sydney was with british airways, leaving 23 february. on 20 february it became clear that mum did not have long to live. i contacted ba, who said i should be able to change my return date, and asked me to send medical documentation, which i did, with an explanatory email. sadly mum passed away very early on the morning of 22 february. i contacted ba again the next day. they said because i had booked through webjet, i needed to contact them. i phoned them, they said they would contact ba. no follow up from either. when i phoned webjet again, they said still no word from ba. when i phoned ba again, they said they couldn't help. at this point i gave up and booked with qantas, paying for another flight. ba's complete lack of compassion (apart from a couple of platitudes), and lack of interest in helping me in any way, astounded me. needless to say, i will never use british airways again.",1,2020-02-01
,solo leisure,economy class,gatwick to malaga,2,3,1,,3,,3,no,food and drinks are expensive,"gatwick to malaga. nothing special, nowadays there's unfortunately not much difference between ba & easyjet. flight left gatwick late & arrived in malaga late. ba seats no longer recline. food and drinks are expensive, their cream tea excludes tea. lift your game ba, your product just continues to get worse.",4,2020-02-01
boeing 747-400,solo leisure,premium economy,vancouver to london,4,5,5,5,4,,5,yes,the crew were outstanding,"vancouver to london. there are time when british airways deserve to be ranked as one of the very best carriers. this flight proves the point. from the warm welcome at the door on boarding until deplaning at lhr, the crew were outstanding. friendly, attentive and professional. the dinner was excellent. excellent choices on the menu, accompanied by some decent wines. i had a painful back from running. a flight attendant provided some medication, came back to my seat an hour or so later to check on me and remembered to ask me if the pain had subsided when i deplaned. very thoughtful. seat was comfortable and complemented by a proper cushion and a very nice quilted blanket. ife good. the b747-400 is showing its age but it’s still a wonderful, iconic aircraft to fly on and i’ll continue to prefer it over the b777.",10,2020-02-01
boeing 787,business,business class,london to seattle,,,,,,,1,no,british airways customer review,"i am flying london to seattle in business class in may 2020, and british airways wants around £100 each way for me to choose seats. all other airlines i have encountered allow business class passengers to choose seats at no additional cost. they decided to change my seat ""for operational reasons""s. what could that reason be? the plane is the same. so, ba takes £100 off me for me so that i can choose my seat and then changes my seat - without asking me. what i get is an automated message (the next time i log on to the ba website) to tell me. there is a number i can ring, 40 minutes waiting for the phone to be answered and i give up.",3,2020-02-01
boeing 777,solo leisure,first class,london heathrow to nairobi,3,5,1,3,2,,3,no,food is the standout problem,"london heathrow to nairobi. ba first is so much weaker than that of middle eastern and asian airlines, i despair. the brightest spot of this trip was being able to use the cx lounge at heathrow t3. to cram 14 first-class seats onto a 777 is quite an achievement. but it is the food that is the standout problem on board. it is poor and it is shameful that our flag-carrier represents britain so badly in this regards. conversely, the flight attendants were excellent in both directions. i only flew first because ba's business class is so poor. but never again.",6,2020-02-01
,couple leisure,premium economy,dubai to london,1,1,1,,1,,1,no,came to me to give me his pillow,"dubai to london. my husband and i traveled together. he got business class, my ticket was a last minute add-on, so was premium economy instead. after we boarded, my husband came to me to give me his pillow, so i got settled and started sleeping. i was woken up by a flight attendant who grabbed the pillow that my husband gave me and saying that, there is a lady in business class is missing a pillow, did i take the pillow. i told her i didn’t, and the pillow was given to me. i stood up and told her it wasn’t ok for her to accuse me of stealing a pillow, and i’ll show her whom my husband is who gave me the pillow. i located my husband in the business class, apparently, his seat had 1 extra pillow and so he gave me the extra one. he offered to give his pillow to the flight attendant who said there was no need and he could keep it.",1,2020-02-01
,couple leisure,business class,london to cape town,4,2,1,3,3,,3,no,service that needs training,"london to cape town. gone are the days in which british airways was a great airline. weird seat configuration, service that needs training, horrible food and no internet in business class are  basic services offered by most of the airlines but not by ba.",4,2020-02-01
boeing 787,solo leisure,economy class,rio de janeiro to london ,1,3,1,1,1,,2,no,packed out seating,"rio de janeiro to london . economy - packed out seating, awful food, very narrow seats, uncomfortable, expensive add ons (seat choice, luggage), try to match norwegian pricing on the rio route, ife was iffy. my back and legs have been terrible for 3 days (i paid £77 for an exit seat), the breakfast served was unfit for me, i took my own drinks and some food items. long haul is getting the same as short. come prepared!",1,2020-02-01
,solo leisure,economy class,johannesburg to dublin via london,1,1,,,1,,1,no,require a transit visa,"johannesburg to dublin via london. i get to the counter and require a transit visa. since when and why if you are in the same terminal even. there was no support, guidance or remorse from the staff. i also had a non refundable hotel booking in dublin! ba need to communicate such changes.",1,2020-02-01
boeing 747-400,couple leisure,business class,las vegas to paris via london,1,4,3,1,4,,1,no,backward facing seats,"las vegas to paris via london. the staff were great, but the 747 was the most uncomfortable flight in business class i’ve experienced.  the aisle seat felt like i was sitting in the aisle, a business class configuration of 2-4-2. that’s a tight squeeze. and,there were backward facing seats. the seats were not only uncomfortable but just so many things wrong with the configuration. i was just glad i didn’t pay full price for this flight.",3,2020-02-01
a320,couple leisure,economy class,geneva to gatwick,,,,,1,,1,no,i want a refund,"ba cancelled my return flight on 09-feb-20 from geneva to gatwick due to storm ciara. they rebooked me onto a later flight, then cancelled that as well. since then, i heard nothing more and i was left on my own to buy a new return flight. i've tried calling them several times every day, but they are not answering their phones, claiming they are too busy to talk to customers. they cancelled my flight, so i want a refund, but so far there is no way of getting through to them.",1,2020-01-01
,solo leisure,economy class,mexico city to manchester via london,5,5,4,5,5,,4,yes,crew was amazingly kind and lovely,"mexico city to manchester via london. my plane from mexico city to london was smooth. entertainment was quite nice and so was the food; although i chose a window seat and was never informed it wasn't actually the window, but a wall! the crew was amazingly kind and lovely. they're always checking on you, and we even got a magnum! loved this airline for my first flight ever.",9,2020-01-01
a321,solo leisure,business class,london heathrow to sofia,4,4,4,,5,2,4,yes,a good experience with no major complaints,"london heathrow to sofia. a good experience onboard one of bas recently refreshed a321 cabins, although unfortunately without any in-seat power supply, contrary to what is stated on their website about which aircraft types were due to get in-seat power following refresh. another thing to add to the list of inconsistencies with the ba product. however the flight overall was very good. as usual an extremely efficient pre-flight experience at heathrow's excellent t5. fast track security was fast, as expected. galleries club lounge was pretty good, and not too crowded. boarding was smooth with priority boarding honoured as usual. the crew were excellent and provided a very attentive service, with plently of drinks runs given the slightly longer distance of the flight. the food pretty good for a shorthaul business class offering. i found the seats to be pretty comfortable and legroom reasonable for a 5 ft 11"" chap. so overall a good experience with no major complaints.",8,2019-10-01
,solo leisure,economy class,manchester to melbourne via london / singapore,2,3,2,,1,,1,no,arriving late to board,"i was to fly to melbourne from manchester via london and singapore in july 2019. arriving late to board my heathrow flight, the check-in-staff discussed my dilemma with her supervisor. only option being to find my way to heathrow. i somehow managed to get to heathrow in time where only the singapore to melbourne boarding pass was issued. i was told that because manchester to heathrow flight was missed, my heathrow to singapore was cancelled.",1,2019-07-01
a321neo,business,business class,madrid to london ,2,3,2,1,3,1,2,no,a pathetic premium cabin,"madrid to london. i keep giving ba the benefit of the doubt, but things are getting worse not better. this a321 has cramped business class seats, no middle table any more and frankly this is a pathetic premium cabin. despite every statement they make about catering improvements, i simply refer to meal photos on this route in 2016 or 2017 to see they have severely cut back on meal portions and cost. iberia staff in  madrid were all very nice, cabin staff okay, but overall club europe is not worth the money - don't waste your money on this.",3,2020-01-01
a320,family leisure,economy class,prague to london,5,5,,,3,3,5,yes,fly this airline again,"prague to london. this is the first time i have flown with british airways. the flight departed earlier than intended and got to heathrow about 5 minutes early. however at heathrow, there was a plane in the way as we had arrived early. a negative was at the check-in, partly the website’s fault, as we had done the online check in. we selected the amount of bags we each had. it said we would have to pay extra, and we spent forever at the checkin because we had to pay £65 for each bag. apart from those negatives and the delay, i would definitely fly this airline again.",7,2020-01-01
a380-800,couple leisure,business class,johannesburg to london,3,4,3,3,3,,3,yes,breakfast become rather perfunctory,"johannesburg to london. whoever designed the refurbished galleries lounge at jnb has no understanding of acoustics, as every syllable of a facetime conversation was audible 20 feet away. add in different languages and some degree of inebriation as you have a recipe for an unrelaxing experience. thankfully, the upper deck of the a380 was more civilised, with an efficient, if slightly distant, cabin crew who ensured that everyone was fed and watered by 2 hours after takeoff, allowing plenty of time for sleep. food was mediocre and i've given up expecting anything more from ba's business class product. the white company bedding is more of a gimmick than a genuine enhancement, and breakfast has become rather perfunctory, with no pastries or bread apart from a solitary croissant. arrival at a chilly lhr was ahead of schedule and we were curbside 30 minutes after landing. reliability is currently ba's strongest card.",7,2020-01-01
boeing 777-200,business,business class,las vegas to gatwick,2,2,2,4,4,,1,no,very disappointing service,"las vegas to gatwick. a very disappointing service for club world, it felt like i was travelling in economy (with attitude). especially considering the very high cost of the flight (i've paid half as much less for business class returns to australia). we got off to a bad start when offered one third of a glass of champagne (about 2 cm in the bottom of the glass). my initial drink after take off was not what i ordered, when i queried it, i got a lecture on this was how it should be. no wine arrived with dinner, until i asked for it a second time (out of stock of the first choice), no second glass of wine offered. yes, i could have used the call button, but 1/3 of a glass of champagne and one glass of wine being offered on a 10 hour business class flight? other than the initial bottle of water, and a glass of water with dinner, no other water was offered until i got up and went to the galley to ask. the good news is the food was good and well presented. although the promised (on the menu) selection of pastries with breakfast were not served (i later walked past the galley to see the crew eating them for their own breakfast). we had dutifully filled in the pre-order card for breakfast, only to find we were being asked again at breakfast. sleeping was impossible due to the temperature being so high, i actually thought i had a fever (i was so drenched in sweat) until i spoke to a colleague who was the same. i'm used to flying ultra long haul with middle eastern airlines, so i'm used to hot cabins, but this was crazy. only when the crew dropped the temperature a few hours before landing (presumably to wake us up), was it bearable enough to sleep. combined with the a very dry cabin air, it was very unpleasant. no need to say anything much about the eight across seating as i know the seats are being upgraded over the next few years, other than they are very cramped if sitting next to a window. i do like the semi-reclined position for take off and landing though. i have fairly big shoulders and found the seat width very restrictive. there is nowhere to put your spectacles or bottles of water if lying down. being on the second aisle, we had to join in with the economy passengers queuing to disembark, so it wasn't quick. at no point did any member of the cabin crew introduce themselves other than via a general pa announcement. the seats i can forgive as they are being addressed, but the service was budget airline level. really ba, you need to do much, much better. the ground staff in las vegas were fast, friendly and efficient. the lounge was something from the dark ages, all 1970's wooden panels.",3,2020-01-01
boeing 747-400,business,business class,san diego to stockholm via london,5,5,5,3,1,1,3,no,roller coaster of incompetence,"san diego to stockholm via london. had i written this review immediately on landing it would have been zero out of ten. but i realise this would be unfair- ba is a game of two halves. the inflight experience is immeasurably improved from a few years ago. the food in club is excellent, the cabin crew attentive and professional, the pilots are the best in the industry and ife absolutely fine. the club world product is competitive with the better european airlines such as lufthansa and streets ahead of most us carriers. the problems start when anything goes wrong - which it frequently does given the mostly old fleet especially on non-core routes. in my case, the flight was cancelled due to the inbound aircraft (an ancient 747) going technical. then a comedy of errors. first the hotel vouchers just said ‘holiday inn’. there are about 15 in san diego- cue hordes of passengers looking for shuttle buses in the wrong place, arriving at hotels with no booking etc etc. next, the replacement flights. the clunky app kept just saying error for some reason. eventually the full website on a pc showed my replacement flights. but no booking refs or any statement if these were being offered to me, were confirmed or whatever. on calling ba they wouldn’t talk to me because i ‘failed’ security- i didn’t know the billing address of the specific booking which was done by my company’s travel department despite having a full executive club account that was associated with the booking and which they could have used. the next day i went to take the replacement flights- alaska airlines to newark then sas to stockholm. despite getting a boarding card and making it to my seat on the plane, i was pulled off minutes before takeoff. ba had not paid for the flight! a reservation had been created but no ticket issued. ba then booked me on a roundabout route back via chicago plus a 12 hour layover from 4am to 4pm, getting me home over 36 hours after my original reservation. later i spotted that the next ba flight which would get me home much sooner now had tickets available online, why was i not on this? when i called they had no explanation and only agreed to ‘exceptionally’ change my flight again after i complained about all of the above. finally, i arrived home after a 24 hour delay and a roller coaster of incompetence. in summary, when all goes well, ba is better than it was and staff are doing a heroic inflight job. but old planes, rubbish back office it infrastructure and plain incompetence mean this airline can be hell if anything goes wrong. and bear in mind i was travelling in business class- who knows how they treat economy passengers.",5,2020-01-01
a320,couple leisure,business class,cape town to johannesburg,4,4,3,,4,,4,yes,slow lounge continues to impress,"cape town to johannesburg. the slow lounge at cape town continues to impress by the standard of service and the generous array of food and drink, including ingenious wine-dispensing machines. boarding was quick and take-off was exactly on time. there was some turbulence but the captain kept passengers well informed. the club meal was the usual offering with the hot options displayed on a tray. arrival was 20 minutes ahead of schedule.",8,2020-01-01
,solo leisure,economy class,new york to london heathrow via copenhagen ,5,5,5,5,5,1,5,yes,thank you for your service and kindness,"on 4th of december before my flight's departure i got my purse stolen in nyc with all my money and my passport in it. thanks to the kind strangers i managed to get to the danish embassy and get a temporary passport. when i arrived at the jfk airport it was too late and i wasn't allowed to drop off my luggage. with tears in my eyes i went to the desk where they sell tickets and the employee was so kind and helpful - she booked me on to the next flight for free, got me through security without having to wait in the line and she informed the flight crew what happened. when i finally sat down the flight crew were so kind and gave me water and food as i haven't had any food for the whole day as i didn't have any money. i want to say thank you for your service and kindness and for making sure that i got back to denmark safely. i was overwhelmed with all the kindness from all the staff! once again thank you!",10,2019-12-01
boeing 787-9,business,business class,phoenix to london,3,5,4,4,3,,5,yes,more than acceptable service,"phoenix to london. since moving to the usa i've been flying ba more than in the past and overall, they provide a more than acceptable service. if you choose your seat in club world carefully and the crew are in the right mood then they surpass expectations. the new menus and service offering are significantly better than in the past and the wine list more interesting. on this flight the crew were engaging and the food was good. departed phx early and arrived into lhr early where immigration and baggage took minutes. if you manage your expectations with ba, then you won't be disappointed with club world.",8,2020-01-01
boeing 777-200,solo leisure,economy class,london heathrow to bangkok,2,4,4,1,4,1,2,no,only saving grace was a superb cabin staff,"london heathrow to bangkok. done this route a few times with british airways over the years, first time and probably last in economy, old plane needs upgrade, poor entertainment system. uncomfortable seats especially for 10+ hour flight. i know they’re starting to upgrade these planes but still a long time away. the only saving grace was a superb cabin staff in economy.",5,2020-01-01
boeing 777-200er,solo leisure,economy class,mumbai to boston via london,2,5,5,2,1,1,3,yes,the service was good,"mumbai to boston via london. my flight with british airways was really good. the catering was excellent on both flights and even the service was good. however, some of the seats have very limited legroom due to the ife box blocking space in front of you. also, ba had misplaced my tennis racket which was checked in. they have a really weird policy that you can't carry your single sports equipment as cabin baggage and instead, you have to check it in. the ground staff was rude at logan airport in boston. also, they took a week to deliver my racket to my house even though it arrived in boston 24 hrs after i had come. even after contacting ba's baggage customer service, they were speaking rudely to me. they always tried to cut my call in like 2 minutes without even listening to my concern. british airways needs to improve their ground experience.",6,2020-01-01
,family leisure,economy class,"orlando, florida to accra, ghana",1,1,1,1,1,1,1,no,refund for seat assignments,"i purchased roundtrip tickets for my wife and i to travel from orlando, florida to accra, ghana and i purchased advance seat assignments. unfortunately, british airways only gave me the seats i paid for for one of four international legs our our roundtrip. i have been fighting with british airways to get my refund for these seat assignments. they have only provided me with refund of $234. despite several phone calls and filing multiple on-line calls and providing them with detailed, my fightcontinues. their customer service is really poor. i will never purchase advance seat assignments with them again.",1,2019-12-01
boeing 787 / a320,solo leisure,economy class,toronto to geneva via london,4,5,4,3,4,,3,yes,still consider other airlines,"toronto to geneva via london. i stopped flying ba about three years ago after they dramatically downgraded their service. apparently things have improved somewhat since, so i decided to give them another try. overall, i was happy with my experience, save for two major gripes. on the plus side: i flew on new aircraft, which were comfortable, albeit with the usual narrow seats for modern aircraft (same with all airlines). legroom on the 787-9 was generous and seemed to be more than the official 31"". pilots were very good and informative, as always with ba. quality of food on long-haul has definitely improved since the bad old days of soggy pasta and droopy sandwiches; i rather enjoyed the meals served, which were on nice large trays. the ife was just about adequate, though surprisingly dated for such new aircraft. cathay pacific's is far superior. the two major downsides: 1. the new basic economy fare. it is really pesky and serves only to disgruntle passengers. ba really need to get rid of it. virtually everyone on long-haul has to check in a bag, so please just include it in all airfare types. if i wanted to be nickle-and-dimed, i'd fly to gatwick on a charter airline. also, not being able to choose a seat even at the time of check-in is infuriating. i was automatically allocated a middle seat even though the entire rear half of the plane was empty! this just goes to show that you will get a middle seat unless you pay. thankfully, the lady at check-in changed it to a window seat free of charge after i asked nicely. 2. no complimentary catering on short-haul. seeing as virtually all passengers flying to/from heathrow are connecting to/from long-haul flights with ba and have spent at least $1,000 on their airfare, i resented a drink and snack not being included on the short-haul segment of my trip. ba should not be treating connecting passengers the same as those on low-cost airlines who only paid a few dollars for a short trip. if ba would get rid of these two new features, i would not hesitate to fly with them again, as everything else about my trip was pleasant. as it is, i would still consider other airlines.",7,2020-01-01
boeing 777-300,solo leisure,first class,hong kong to london,4,5,5,4,4,,4,yes,sleeping was quite impossible,"hong kong to london heathrow with british airways. one of the best flights i’ve had in a premium cabin. the service, seat, food and wine are among the best i’ve experienced. the only gripe i had was the cabin temperature which was quite warm and sleeping was quite impossible at first even with pyjamas on provided by ba. the cabin attendant did my own bed and it was a nice touch. i would not hesitate flying first class with ba on my next flight.",9,2020-01-01
boeing 787,business,economy class,san jose to amsterdam via london,1,1,2,3,2,,3,no,layout of boeing 787 cabin is poor,"san jose to amsterdam via london. layout of boeing 787 cabin is poor with rearmost seat not having luggage bins (row 42-44 d, e, and f,). in addition the crew fill the bins over the outer seats (row 42-43 k, j) with their bags and blankets. i would not recommend ba or the 787.",3,2020-01-01
boeing 777,couple leisure,business class,singapore to paris via london,3,4,4,4,1,,2,no,luggage was not loaded,"singapore to paris via london. the flight was a ok, dated seating with shakey arms not the most comfortable but a serviceable experience. however our luggage was not loaded onto the flight, the second time this happened now with ba and despite a 13 hour flight, 2 hour stopover, and 1 hour flight to paris ba did not make any effort to inform us at any time of the issue. instead after travelling for around 17 hours we had to wait for the baggage to all come and clear before we realised ours was missing. being a sunday and most shops close at lunchtime that also left little time to buy emergency items and the despite knowing they hadn’t loaded the baggage they could not find a way to send it quicker than 24 hours after arrival meaning 2 out of 3 days in paris will be spent without luggage.",1,2020-01-01
a321neo,solo leisure,economy class,warsaw to london,5,5,5,,4,,5,yes,everything went like clockwork,"warsaw to london. everything went like clockwork and nothing could be disliked about this flight. professional crew with beams on their faces, new aircraft (it's important to choose a seat no further than row 14 in a321neo, as those seats are the old type pinnacle seats and have better legroom), very informative captain who told us about expected turbulence before we had taken off (very much appreciated), on time landing and good atmosphere on board! the food in euro traveller is unfortunately no longer free, however being in ba's executive club you can pay for the food & drinks with avios, which is very convenient. the only drawback i could find is a long queue to the bag check-in at warsaw airport - 3 opened check-in counters for approx. 200 people is rather not enough.",9,2020-01-01
boeing 747-400,family leisure,economy class,new york  to london heathrow,4,5,3,4,5,,4,yes,i would recommend ba,"new york  to london heathrow. very good, staff very nice, comfortable seats, seat recline good enough, food a bit limited. i would recommend ba to others since they are a very good airline.",8,2020-01-01
,family leisure,economy class,london to los angeles,2,1,2,,1,1,3,no,never fly ba again,"london to los angeles. take off was delayed by 3 hrs (which we spent onboard) because of a dent to the door which needed inspection - sure maybe outside of their control. i was flying with my wife and two kids (2 & 4), sitting on bulkhead with 3 seats and using the baby bassinet facility. after take off we saw that the inflight entertainment service (for the whole section - not whole cabin) was not working. and we were sitting into an 11.5hr overnight flight with two little ones, meaning sleeping was not going to happen. we contacted the cabin crew who made zero accommodation. sorry they said. during the flight the cabin crew stood in the galley behind the bulkhead talking loudly while the lights were dimmed, and kept slamming drawers as they moved things around. to cap it off, we landed at 10pm et and they had left behind our baby car seat and stroller. we finally received them back 2 days later. conclusion, never fly ba again.",3,2019-12-01
boeing 737-800,couple leisure,business class,johannesburg to cape town,3,3,3,,4,,4,yes,need to move with the times,"british airways (comair) johannesburg to cape town route is never less than fully subscribed, and on this occasion the equivalent of club europe stretched back 9 rows. service followed the usual pattern of a drink (champagne included) and comair’s idiosyncratic ‘four-course meal’, i.e. a tiny salad, a hot course that one could see before choosing, a minute iced cake and a minuscule cheese & biscuits. the hot meal is invariably scorched around the edges. comair really need to move with the times to a more modern business class offering. aside from the meal, the flight was typically efficient, with arrival slightly ahead of schedule.",7,2020-01-01
,business,business class,london to bangkok,2,1,1,,2,,2,no,offer a kids free zone,"london to bangkok. it's not what it used to be but most importantly, it does not deliver what it promises any longer.  disappointing food, outdated and uncomfortable seats, appalling baggage handling at lhr, and  mediocre crew service onboard. the customer service online is just as bad. my most recent experience was early january 2020 when they put me next to a couple with a newborn baby in club world on an overnight flight from lhr to bkk. baby screams, could not sleep and as the cabin was full, they could not move me. the couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. however, my dealings with customer service was appalling. when is ba going to offer a kids free zone in club world for people who need to work or sleep?",2,2020-01-01
a380,couple leisure,business class,london to johannesburg,4,4,4,3,4,2,4,yes,overall a good flight,"london to johannesburg. departure was slightly delayed by 50 mph gusts, but once away  the flight was the usual comfortable experience on the upper deck. seats 53j/k are some of the best as long as the galley is quiet. the dinner service was efficient and we were ready for sleep after a film. cabin crew were pleasant and attentive. toilets were kept clean throughout the flight. arrival was 30 minutes behind time, but baggage collection and customs were mercifully quick, so we were in the slow lounge just 40 minutes after landing. overall, a good flight.",8,2020-01-01
boeing 777-200 / 747-400,solo leisure,economy class,boston to mumbai via london,2,5,4,2,1,,5,yes,a very comfortable flight,"overall a very comfortable flight with british airways. both of my flights took off on time and reached on time. i was really excited to fly ba since they changed the aircraft from boeing 777-200 to a boeing 747-400 which is known as the queen of the skies.  the flight attendants are very nice and professional towards passengers, they did their best to speed up the boarding process since both of my flights were full and we took off. everything went well on my first flight and also flight time went short over the atlantic due to great tail winds. on my second flight to mumbai, the flight attendants were polite and respectful and gave the best service. however, during the lunch service, they ran out of vegetarian food option and had to fetch for vegetarian food in other cabins and even give crew meals to passengers who were vegetarian. overall, my both flights with ba were good. there are some shortcomings on their older fleet like lack of usb ports, power outlet, old ife, the ife box in front of you that blocks your legroom.  ba  need to refurbish their old cabins on boeing 777-200 and boeing 747,if they still plan to use them on longer flights.",7,2019-12-01
,couple leisure,business class,los angeles to london,1,1,1,,1,,1,no,my husbands seat was broken,"los angeles to london on 6th january, and my husbands seat was broken. the customer service manager was rude to me and made insinuations about our intentions. it was a dreadful way to end our honeymoon and left a bitter taste. a truly horrendous experience.",1,2020-01-01
,solo leisure,premium economy,gatwick to cancun,3,1,1,2,3,1,2,no,my food was bad,gatwick to cancun. flight was late. my food was bad and it was not possible to change. i paid for the internet which did not work for me most of the time. was advised to report but no instructions to where or how.,2,2020-01-01
a320,solo leisure,business class,london gatwick to glasgow,4,5,4,,5,,4,yes,could not fault one aspect of the service,"fantastic flight. travelled solo from london gatwick to glasgow in british airway’s club europe cabin and could not fault one aspect of the service. i arrived at gatwick around 2 hours prior to departure. all ba club world passengers are entitled to fast track security at gatwick. this was quick and the staff were pleasant enough. the lounge at gatwick was clean and modern and made for a nice relaxing start to the journey. boarding was quick and the flight departed on-time and landed 10 minutes early, the crew were very attentive and friendly. the in-flight meal was delicious (i had smoked salmon served with curried rice). overall a really lovely flying experience. had there been ever-so-slightly more leg room and in-flight entertainment i’d have given this flight 10/10! a fantastic crew who were a credit to the airline.",9,2020-01-01
boeing 787-8,solo leisure,business class,rio de janeiro to london heathrow,5,5,5,,4,,5,yes,all in all great service,"rio de janeiro to london heathrow. love this aircraft, only a 3 class, business, world traveller plus and economy class. 2 cabins in business class front 3 rows and rear 2 rows. i had seat 3a, in my opinion the seat, window seat with a bit more space than the usual seat (at 6'4'' a little extra helps) very private tucked behind second galley area, toilet is over the other side j/k. i settled in to sleep and did not have an evening meal. crew very accommodating as they offered water bottles immediately. a good few hours sleep as normal and woke up about 10 minutes before breakfast. i really enjoyed the fruit, yoghurt, muesli and the full english breakfast. all in all great service, good flight and felt fully relaxed.",10,2019-12-01
